推,噓,分數,作者,標題,時間
5,12,-7,leavez (XD),[問卦] 被性騷當下大叫很難嗎,Fri Feb  5 23:40:54 2021
0,0,0,leavez (XD),[問卦] 豬哥亮摸的話算性騷擾嗎?,Sat Feb  6 09:25:59 2021
0,1,-1,s523698 (523698),[問卦] 一句話跟她毀婚？,Sat Feb  6 00:16:23 2021
4,0,4,cpz (我是閃亮亮的鑽石),[問卦] 有沒有自卑感的八卦？,Fri Feb  5 23:00:55 2021
1,0,1,keepwild (牛奶糖),Re,Sat Feb  6 03:49:37 2021
7,7,0,abc89664k (翔大),[問卦] 現代小龍女追殺尹志平,Sat Feb  6 05:13:18 2021
3,8,-5,"god46 (大家好,我是JayJay林俊傑)",[問卦] 預測你的未來十天，相信請推文,Sat Feb  6 08:07:26 2021
7,0,7,mycity16 (革命尚未成功),Re,Fri Feb  5 22:32:33 2021
4,6,-2,a78914124 (U文製造機),[問卦] 雞排妹的風格484很像韓導,Fri Feb  5 23:26:46 2021
9,0,9,a15568 (玉米),[問卦] 翁直接說自己是甲甲是不是就翻盤了？,Sat Feb  6 00:47:46 2021
4,0,4,hayate232 (CY),Re,Fri Feb  5 23:38:41 2021
8,6,2,ulycess (ulycess),[問卦] 以後主持人是不是可以隨便拍女星的臀部了,Fri Feb  5 23:23:11 2021
4,2,2,Refauth (山丘上的長號手),[問卦] 為什麼捷運沒有 男性專用車廂 ？,Sat Feb  6 01:06:58 2021
4,0,4,NARUTO (鳴人),[問卦] 覺青對臺灣與朝鮮半島的主權看法不一致？,Fri Feb  5 22:46:08 2021
9,0,9,kevin05233 (kk),[問卦] 舒淇是不是很好的對照組？,Sat Feb  6 03:09:34 2021
92,1,91,randy211161 (一生只愛みおな♡),[問卦] 發錢♡祝乃木坂小可愛星野みなみ生日快,Fri Feb  5 23:32:18 2021
7,1,6,SUMPO (盛保),[問卦] 搞不懂貓貓想要甚麼 腫魔半,Sat Feb  6 01:21:01 2021
7,1,6,gerychen (邪惡肥宅),[問卦] 是不是該先提出被性騷擾保身比較好？,Sat Feb  6 07:59:07 2021
7,8,-1,BleedWang (),[問卦] 翁立友幹嘛不直接告毀謗,Fri Feb  5 23:11:48 2021
8,2,6,crassus7217 (肯德鴨),[問卦] 13年後PTT還會存在嗎？？,Sat Feb  6 08:11:34 2021
2,1,1,qazp741 (綠豆),Re,Sat Feb  6 02:49:21 2021
1,0,1,bingogobin (  ),[問卦] 來福是不是有證據才安全下莊？,Sat Feb  6 08:23:48 2021
3,0,3,masi (專業酸民),Re,Fri Feb  5 22:32:14 2021
18,1,17,lpbrother (LP哥(LP = Love & Peace)),[問卦] 支持黃宥嘉醫生的都是媳婦嗎？,Sat Feb  6 08:26:45 2021
20,3,17,ex250203 (我是肥宅我驕傲),[問卦] 一直洗雞排妹被性騷擾是想掩蓋什麼大事,Fri Feb  5 22:48:12 2021
1,0,1,wade6510 (真情不必多說),[問卦] 花多少補習費後 快打旋風才變職業玩家?,Sat Feb  6 09:16:27 2021
5,0,5,GraceMa (我喜歡騎馬),[問卦] 為什麼會流行不健康的審美,Sat Feb  6 01:59:02 2021
63,4,59,TKHAZ (FR762088),[問卦] 慟！clubhouse聽到現在,Sat Feb  6 04:19:43 2021
0,0,0,keyesleo (以前曾經很帥),Re,Fri Feb  5 23:30:11 2021
1,6,-5,E6300 (＊靈界偵探＊),有沒有可能女生今天說給你摸  明天說性騷擾,Fri Feb  5 23:26:28 2021
20,2,18,MartianIT (Martian Institute Tech),[新聞] 英國撤銷中國環球新聞網執照,Sat Feb  6 07:35:35 2021
6,16,-10,alex1987 (基努李維),[新聞] 中國打壓 蓋亞那撤「台灣辦公室」陳柏惟:,Sat Feb  6 00:52:43 2021
22,2,20,loken0408 (男人野蠻劍),[新聞]成績太好遭妒女高中生被同班同學餵毒蛋糕,Sat Feb  6 01:21:26 2021
17,2,15,hayato24 (樹枝孤鳥),[問卦] 機排妹這樣算不算妨礙風化??,Sat Feb  6 05:45:26 2021
50,13,37,genheit (genheit),[問卦] 金庸最後一部武俠小說為何亂寫？,Fri Feb  5 22:30:42 2021
50,5,45,tunisco (終極魯蛇),[問卦] 身邊女性朋友對G翁事件的看法,Sat Feb  6 07:43:52 2021
23,2,21,awei6225 (參零陸捌),[新聞] 中國人口加速塌陷 部分地區出生率大掉32%,Fri Feb  5 23:46:45 2021
11,1,10,kapasky (偽卡巴斯基),[問卦] 現實生活沒人在關心雞排妹事件？,Sat Feb  6 08:20:57 2021
42,7,35,jkkert (沙皮、巴哥傻傻分不清楚),[問卦] 急問，捷運上妹子睡著靠到我手臂了,Sat Feb  6 00:23:32 2021
2,3,-1,orangelolly (我戀橘羅莉。夏流),[問卦] 有誰跟我一樣開始放年假了?,Fri Feb  5 23:37:56 2021
4,0,4,jackliao1990 (j),[新聞] 參考太陽磁重聯巨大能量，新型電磁推進器,Sat Feb  6 00:02:00 2021
3,1,2,littlest (讀冊人...),[問卦] 今天的空氣好差.....,Sat Feb  6 00:41:18 2021
17,10,7,Reichenau (RRR),[新聞] 網列記者會5大敗筆！翁立友「挨轟媽寶」,Fri Feb  5 22:59:27 2021
2,3,-1,jimmysunny01 (但願長醉不願醒),[問卦] 當過兵的還會吃部隊鍋嗎？,Sat Feb  6 00:21:47 2021
15,4,11,AllBlack (All Black),[問卦] 有沒有四叉貓在講古的卦？,Sat Feb  6 01:49:57 2021
437,27,410,craig5566 (飛天少女豬),[問卦] Ptt 八卦鄉民的Clubhouse房開張了！？,Sat Feb  6 01:35:53 2021
5,6,-1,lupin2401 (信長肛森蘭),[爆卦] 橘子退出電玩展用武漢肺炎發公告被指辱,Sat Feb  6 00:35:34 2021
7,0,7,cloudyheart (雲心),Re,Sat Feb  6 02:49:41 2021
22,1,21,OAO5566 (OAO),[問卦] 為啥一堆人都學樂器之王：鋼琴？,Fri Feb  5 22:36:37 2021
1,6,-5,spiral0857 (從今以後),[問卦] 正妹驚嚇，露出傻眼可愛的表情。,Fri Feb  5 23:21:50 2021
2,1,1,kerorobear (解放君愛肛交),[問卦] 各位性騷擾犯們晚安,Sat Feb  6 01:57:14 2021
10,1,9,NCTUEE800808 (White Dragon Society),[問卦] 變得害怕女森怎摸辦？,Sat Feb  6 03:05:12 2021
3,0,3,jackyiou (銀翼的魔術師),[問卦] 翁立友上狗屎寫手會被怎麼寫,Fri Feb  5 22:15:04 2021
52,0,52,derekhsu (華麗的天下無雙),[爆卦] 疫情整理:疫情緩解穩定行 歐洲三國隱憂起,Fri Feb  5 22:42:40 2021
3,11,-8,realtw (realtw),Re,Fri Feb  5 23:38:41 2021
